State,FIPS,Year,VCF0204,VCF0206,VCF0207,VCF0209,VCF0210,VCF0211,VCF0212,VCF0213,VCF0217,VCF0218,VCF0219,VCF0220,VCF0223,VCF0224,VCF0227,VCF0228,VCF0231,VCF0232,VCF0233,VCF0234,VCF0253,VCF0290,VCF0291,VCF0310,VCF0346,VCF0347,VCF0348,VCF0349,VCF0358,VCF0359,VCF0360,VCF0361,VCF0370,VCF0371,VCF0372,VCF0373,VCF0374,VCF0380,VCF0386,VCF0392,VCF0450,VCF0451,VCF0475,VCF0481,VCF0487,VCF0493,VCF0501,VCF0502,VCF0502a,VCF0503,VCF0504,VCF0604,VCF0605,VCF0606,VCF0609,VCF0613,VCF0614,VCF0624,VCF0648,VCF0649,VCF0656,VCF0702,VCF0703,VCF0704,VCF0704a,VCF0705,VCF0706,VCF0707,VCF0708,VCF0709,VCF0710,VCF0713,VCF0714,VCF0724,VCF0801,VCF0803,VCF0804,VCF0806,VCF0809,VCF0823,VCF0824,VCF0830,VCF0838,VCF0839,VCF0843,VCF0846,VCF0847,VCF0849,VCF0850,VCF0851,VCF0852,VCF0853,VCF0854,VCF0867,VCF0867a,VCF0870,VCF0871,VCF0872,VCF0876,VCF0876a,VCF0877,VCF0877a,VCF0878,VCF0879,VCF0879a,VCF0880,VCF0880a,VCF0881,VCF0886,VCF0887,VCF0888,VCF0890,VCF0894,VCF9005,VCF9009,VCF9013,VCF9014,VCF9015,VCF9016,VCF9017,VCF9018,VCF9021,VCF9022,VCF9023,VCF9030,VCF9030a,VCF9030b,VCF9030c,VCF9031,VCF9037,VCF9039,VCF9040,VCF9041,VCF9042,VCF9045,VCF9047,VCF9048,VCF9049,VCF9081,VCF9084,VCF9085,VCF9086,VCF9087,VCF9088,VCF9089,VCF9092,VCF9093,VCF9094,VCF9095,VCF9096,VCF9122,VCF9131,VCF9132,VCF9133,EST_VC03,EST_VC05,EST_VC06,EST_VC11,EST_VC12,EST_VC13,EST_VC41,EST_VC42,EST_VC48,EST_VC55,EST_VC56,EST_VC58,EST_VC59,EST_VC63,EST_VC91,EST_VC92,EST_VC93,EST_VC94,EST_VC95,EST_VC108,EST_VC110,EST_VC112,EST_VC115,EST_VC116,EST_VC134,EST_VC135,EST_VC166,EST_VC167,EST_VC171,EST_VC187,EST_VC190,EST_VC191,EST_VC192,EST_VC194,EST_VC281,EST_VC283,EST_VC284,TotalMoney,PercentMoney, T_VOTES , Rep_Votes , Rep_Percent ,Rep_EV, Dem_Votes , Dem_Percent ,Dem_EV,lagdempct,VEP,VAP,VEP_Diff_From_Nat,VAP_Diff_From_Nat,PerCapitaGDP
Oklahoma,40,2008,70.58333333,82.30555556,72.11111111,64.5,67.30555556,63.08333333,64.08333333,84.61111111,72.97222222,69.66666667,81.94444444,68.61111111,80.36111111,37.83333333,68.63888889,59.02777778,54.36111111,46.58333333,48.25,80.47222222,65.61111111,54,66.16666667,1.138888889,1.222222222,1.388888889,1.861111111,1.777777778,1.861111111,1.833333333,1.194444444,1.444444444,1.611111111,1.694444444,1.694444444,1.833333333,2.444444444,3.666666667,3.777777778,2.75,1.888888889,3.638888889,1.666666667,3.888888889,3.888888889,2.222222222,1.638888889,2.194444444,2.083333333,3.694444444,4.944444444,0.916666667,1.166666667,1.055555556,0.472222222,0.611111111,0.472222222,2.388888889,619.5277778,156.8611111,102.75,1.722222222,2.611111111,0.944444444,0.944444444,0.944444444,1.722222222,1.055555556,0.805555556,1.277777778,0.972222222,1.638888889,1.694444444,0.833333333,53.58333333,6.194444444,5.111111111,1.694444444,1.583333333,2.166666667,2.972222222,4.361111111,1.388888889,3,2.444444444,1.083333333,2.833333333,3.694444444,1.361111111,3,3.722222222,2.416666667,3.388888889,4.027777778,3.944444444,4.611111111,4.361111111,5.694444444,2.638888889,2.861111111,2.222222222,2.416666667,4.277777778,4.111111111,4.166666667,2.083333333,3.138888889,1.444444444,1.527777778,1.527777778,1.305555556,1.111111111,1.916666667,68.97222222,4.527777778,1.75,3.972222222,2.694444444,3.777777778,3.527777778,2.472222222,3.222222222,2.111111111,1.027777778,5,2.361111111,2.472222222,2.583333333,4.666666667,4.027777778,2.944444444,2.833333333,3.166666667,3.194444444,1.944444444,1.527777778,1.722222222,1.361111111,6.416666667,2.861111111,6.194444444,7.25,6,4,7.361111111,5.305555556,7.166666667,6.416666667,7.444444444,4.527777778,1.972222222,2.611111111,2.111111111,2.472222222,93.4,0.3,0,7.2,17.7,10.3,3527094,60,1407933,33.5,14.8,2.8,18.7,3.09,70.5,21.8,475161,66,27.8,21.6,885806,18268,2096194,3.9,11,8.1,91.6,8.4,63.9,11.9,1.7,3.6,21.2,1711674,22,20.4,13.7,4170,0,"1,462,661.00","960,165.00",0.66,7,"502,496.00",0.34,0,34.4,0.558,0.528,-0.058,-0.041,40109
Oregon,41,2008,75.2962963,75.55555556,79.2962963,54.18518519,63.07407407,71.77777778,67.85185185,79.37037037,76.18518519,67.92592593,81.88888889,64.22222222,77.22222222,33.51851852,76.55555556,60.44444444,50.81481481,61.48148148,47.92592593,69.22222222,64.59259259,50.92592593,67.40740741,0.962962963,1.185185185,1.259259259,1.777777778,1.62962963,1.925925926,1.666666667,1.333333333,1.444444444,1.518518519,1.407407407,1.62962963,1.592592593,2.296296296,2.555555556,2.740740741,2,2.148148148,3.703703704,1.888888889,3.222222222,3.222222222,1.888888889,1.777777778,2.333333333,2.037037037,2.740740741,6.074074074,1.037037037,1.185185185,1.074074074,0.37037037,0.37037037,0.296296296,2.444444444,707.6296296,149.9259259,98.40740741,1.740740741,2.62962963,1,1,1,2.037037037,0.851851852,1.111111111,1.296296296,1.555555556,1.925925926,1.62962963,0.851851852,52.44444444,4.037037037,2.37037037,2.185185185,2.481481481,2.185185185,2.111111111,4.888888889,1.518518519,2.407407407,2.037037037,1.333333333,2.962962963,2.925925926,2.481481481,3,3.407407407,2.62962963,2.851851852,5.518518519,5.444444444,4.925925926,4.777777778,5.444444444,1.740740741,1.777777778,1.407407407,1.740740741,2.777777778,4.185185185,4.185185185,2.62962963,3.888888889,3.074074074,1.740740741,3.037037037,1.555555556,1.888888889,2.592592593,62.66666667,4.888888889,2.259259259,3.666666667,3.333333333,4,3.666666667,2.740740741,3.37037037,2.333333333,1.222222222,4.555555556,2.037037037,2.074074074,2.296296296,4.851851852,4.888888889,3.740740741,3.37037037,3.555555556,4,1.925925926,1.444444444,1.518518519,2.407407407,6.185185185,3.703703704,5.925925926,7.703703704,6.62962963,2.851851852,7.518518519,5.555555556,7.666666667,6.555555556,7.62962963,5.740740741,1.888888889,2.296296296,2.037037037,2.185185185,96.5,0.2,0,6.4,16.5,9,3708440,59.5,1474755,36.3,16.7,4.2,19.6,3.09,70,23.6,457556,66,28.6,27.5,917183,18499,2306747,2.6,10.4,7,86,14,65.3,10.8,3.2,5.9,22.5,1840290,17.5,16,12.3,2754,0,"1,827,864.00","738,475.00",0.4,0,"1,037,291.00",0.57,7,51.3,0.677,0.627,0.061,0.058,48277
Pennsylvania,42,2008,67.77777778,71.91666667,75.88888889,55.08333333,67.36111111,64,64.97222222,78.38888889,67.52777778,62.91666667,75,60.72222222,73.33333333,45.41666667,66.69444444,59.27777778,52.44444444,51.97222222,42.66666667,64.25,61.38888889,54.5,85.41666667,0.805555556,1.277777778,1.388888889,1.666666667,1.611111111,1.777777778,1.777777778,1.222222222,1.444444444,1.694444444,1.694444444,1.833333333,1.611111111,2.777777778,3.444444444,3.555555556,2.972222222,2.111111111,3.805555556,2.555555556,3.333333333,3.888888889,2.555555556,1.555555556,1.805555556,1.694444444,3.583333333,5.194444444,1.111111111,0.972222222,1.138888889,0.694444444,0.75,0.611111111,2.111111111,543.9166667,201.25,158.0555556,1.444444444,2.055555556,0.694444444,0.694444444,0.694444444,2.638888889,0.694444444,0,0.916666667,0,2.361111111,1.722222222,0.916666667,58.13888889,6,4.583333333,2.25,2.944444444,1.5,2.388888889,5.611111111,1.277777778,3.666666667,3.583333333,1.194444444,2.777777778,3.277777778,1.638888889,3.194444444,4.027777778,2.916666667,3.305555556,5.277777778,5.055555556,4.833333333,4.638888889,5.166666667,2.111111111,2.25,2,2.222222222,3.111111111,4.138888889,4.333333333,2.111111111,3.194444444,1.75,1.416666667,1.444444444,1.444444444,1.361111111,1.972222222,64.58333333,4.722222222,2.472222222,4.138888889,3.444444444,4.25,3.888888889,3.055555556,4.333333333,1.944444444,2.388888889,4.972222222,2.527777778,2.611111111,2.75,5.111111111,5.305555556,3.388888889,3.361111111,3.555555556,4.083333333,1.722222222,1.361111111,1.666666667,1.527777778,5.972222222,4.333333333,5.388888889,6.5,5.527777778,3.722222222,6.888888889,5.444444444,6.527777778,5.75,6.611111111,5.277777778,1.472222222,2.555555556,2.305555556,2.611111111,98.5,0.1,0,5.9,16.3,9.7,11978310,61,4904554,34.7,15.7,3.1,19,3.03,68.8,24.5,1569333,62.5,31.4,25.1,3015658,59978,7732011,2.7,7.5,4.7,90.6,9.4,64,9.7,1.3,3.4,25.8,6036542,16.4,15.3,10.8,24903675,0.1548,"6,034,745.00","2,655,885.00",0.44,0,"3,276,363.00",0.54,21,50.9,0.636,0.613,0.02,0.044,45857
Rhode Island,44,2008,79.15,81.2,75.15,57.1,67.55,66.3,70.95,76.35,78.5,67.05,80.85,68.7,85.05,37,74.05,63.1,59.85,61.2,64.2,72.1,64.2,52.2,65.2,1,1.25,1.45,2.1,1.8,1.8,1.75,1.25,1.7,1.85,1.9,2.15,2.05,3.2,4,3.8,2.4,1.95,3.8,2,4.6,3.8,2.6,1.8,3.75,2.95,3.85,5.2,1.3,1.05,0.95,0.75,0.9,0.8,1.75,465.8,194.85,167.65,1.3,1.8,0.55,0.55,0.55,3.35,0.35,0.4,0.45,0.5,1.7,1.8,0.9,58.7,5.85,4.9,1.55,2,2.45,2.8,4.2,1.45,3.1,2.9,1.3,3.3,2.85,1.9,3.3,2.95,3.05,2.65,3.6,3.4,4.9,4.75,4.7,2,2.15,1.6,1.7,2.8,3.7,3.7,2.5,3.95,2.35,1.2,1.5,1.15,1.05,1.9,67.2,4.75,2.4,4.25,2.8,4.3,4.4,2.45,4.4,2,2.05,6.1,2.9,2.9,3.05,4.8,3.45,3.55,3.3,3.65,3.15,1.6,1.05,1.9,1.5,6.15,3.7,5.7,6.95,5.65,3.85,6.65,5.85,6.65,5.8,6.65,4.85,1.95,2.95,2.3,2.7,98.1,0.1,0,5.8,16,10.8,1012433,57.3,399107,37.9,16.9,3.5,21,3.24,60.6,30.7,146034,58.5,36.6,28.9,271493,5687,641671,2.9,7.8,4.1,80,20,66.7,8,1.7,3.7,23.1,519504,15.2,14.4,10.6,0,0,"469,767.00","165,391.00",0.35,0,"296,571.00",0.63,4,59.4,0.618,0.571,0.002,0.002,45858
South Carolina,45,2008,74.88405797,85.73913043,79.88405797,67.47826087,69.07246377,71.04347826,73.01449275,86.1884058,70.39130435,71.69565217,82.36231884,68.73913043,84.88405797,50.42028986,72.71014493,71.56521739,66.57971014,44.97101449,47.82608696,77.36231884,69.52173913,61.28985507,157.0724638,1.391304348,1.68115942,1.68115942,1.884057971,1.811594203,1.985507246,1.869565217,1.811594203,1.652173913,1.927536232,1.913043478,1.710144928,1.811594203,2.855072464,4.086956522,4.057971014,3.565217391,1.956521739,3.333333333,2.797101449,4.057971014,4.043478261,3.405797101,2.072463768,3.68115942,2.985507246,3.724637681,5.043478261,1.086956522,1.507246377,1.449275362,0.855072464,0.884057971,0.695652174,2.492753623,451.7391304,183.2173913,115,1.52173913,2.275362319,0.724637681,0.724637681,0.724637681,2.855072464,0.550724638,0.579710145,0.768115942,0.782608696,1.84057971,2.15942029,0.869565217,54.92753623,6.086956522,5,1.971014493,1.956521739,2.463768116,2.550724638,4.463768116,1.15942029,2.52173913,2.710144928,1.144927536,2.507246377,3.710144928,1.47826087,2.956521739,3.739130435,2.695652174,3.391304348,4.739130435,4.52173913,4.579710145,4.217391304,6.608695652,3.15942029,3.304347826,2.913043478,2.971014493,4.333333333,4.434782609,4.666666667,2.115942029,3.289855072,2.492753623,1.884057971,1.68115942,1.68115942,1.52173913,2.31884058,74.98550725,4.130434783,2.057971014,3.884057971,2.84057971,4.014492754,3.710144928,2.637681159,4.246376812,1.463768116,1.753623188,5.565217391,2.304347826,2.347826087,2.47826087,4.942028986,4.246376812,3.695652174,2.956521739,2.927536232,3.449275362,2.31884058,1.84057971,2.202898551,1.579710145,6.768115942,3.492753623,6.550724638,7.231884058,6.710144928,3.956521739,7.449275362,5.666666667,7.347826087,6.710144928,7.463768116,5.449275362,1.782608696,2.739130435,2.289855072,2.637681159,98.4,0.1,0,6.7,17.1,10.1,4333829,58.2,1702300,32.9,14.8,2.9,18.1,3.13,72.5,21.4,570524,65.9,28.2,23.2,1108257,32282,2668170,3.9,8.3,6.4,93.9,6.1,62.9,10.9,1.8,3.7,23.3,2020226,21.5,19.5,13.7,910,0,"1,920,969.00","1,034,896.00",0.54,8,"862,449.00",0.45,0,40.9,0.58,0.553,-0.036,-0.016,37049
Tennessee,47,2008,76.50649351,79.94805195,82.28571429,63.80519481,61.2987013,64.01298701,73.66233766,89.1038961,66.96103896,56.72727273,82.94805195,60.74025974,80.31168831,52.45454545,72.93506494,62.45454545,62.63636364,49.14285714,39.42857143,75.37662338,65.87012987,54.94805195,89.44155844,1.25974026,1.454545455,1.662337662,1.519480519,1.688311688,1.883116883,1.688311688,1.506493506,1.584415584,1.753246753,1.74025974,1.506493506,1.532467532,3.064935065,3.688311688,3.363636364,3.272727273,1.636363636,2.857142857,3.116883117,3.116883117,3.168831169,3.168831169,1.753246753,3.298701299,2.467532468,3.038961039,4.935064935,1.038961039,1.467532468,1.298701299,0.805194805,0.792207792,0.688311688,2.155844156,541.038961,112.2857143,80.96103896,1.779220779,2.701298701,1.220779221,1.220779221,1.220779221,2.038961039,0.948051948,1.246753247,1.558441558,2.025974026,1.87012987,1.857142857,0.896103896,56.27272727,6.038961039,4.402597403,2.324675325,2.623376623,1.909090909,1.61038961,4.974025974,1.116883117,2.493506494,2.714285714,1.116883117,2.844155844,3.688311688,1.467532468,2.675324675,3.376623377,2.194805195,2.805194805,5.025974026,4.714285714,4.766233766,4.415584416,5.25974026,2.649350649,2.61038961,2.12987013,2.272727273,3.597402597,3.883116883,4.025974026,2.194805195,3.285714286,1.74025974,1.467532468,1.558441558,1.324675325,1.311688312,2.155844156,70.48051948,3.623376623,1.948051948,3.311688312,3.220779221,3.480519481,3.103896104,2.857142857,3.649350649,1.805194805,0.831168831,5.714285714,2.090909091,2.181818182,2.194805195,4.948051948,4.883116883,3.532467532,2.272727273,2.636363636,3.792207792,2.116883117,1.532467532,1.493506494,1.454545455,6.311688312,3.077922078,5.935064935,7.376623377,6.12987013,2.857142857,7.12987013,4.701298701,6.948051948,6.61038961,7.051948052,5,1.623376623,2.155844156,1.805194805,1.948051948,98.5,0.1,0,6.7,17.1,9,6062405,60.1,2434683,33.3,15.2,2.7,18.2,3.07,72.4,21.2,773234,67.5,26.7,22.2,1543855,39693,3747566,3.8,9.8,6.3,94.3,5.7,64.3,10.6,1.2,3.4,24,2921253,21.5,19.5,13.5,9955,0.0001,"2,599,749.00","1,479,178.00",0.57,11,"1,087,437.00",0.42,0,42.5,0.57,0.545,-0.046,-0.024,41201
Texas,48,2008,77.52054795,73.86575342,74.18356164,64.25479452,66.13972603,65.37534247,66.96438356,83.46849315,80.78082192,66.59178082,79.93972603,61.09863014,78.16712329,49.96986301,71.77808219,62.99178082,62.68219178,57.51506849,61.69315068,68.49589041,65.98356164,58.76712329,110.3890411,1.008219178,1.424657534,1.597260274,1.690410959,1.726027397,1.832876712,1.75890411,1.378082192,1.528767123,1.775342466,1.789041096,1.635616438,1.616438356,2.739726027,3.605479452,3.810958904,3.273972603,1.942465753,3.356164384,2.517808219,3.460273973,3.58630137,2.942465753,1.657534247,3.071232877,2.369863014,3.876712329,5.049315068,1.043835616,1.430136986,1.293150685,0.682191781,0.720547945,0.608219178,2.038356164,594.2849315,159.8958904,127.8465753,1.479452055,2.18630137,0.736986301,0.736986301,0.761643836,3.01369863,0.57260274,0.663013699,0.821917808,0.980821918,1.868493151,1.791780822,0.8,54.74520548,5.391780822,3.895890411,1.917808219,2.145205479,1.838356164,1.863013699,5.430136986,1.175342466,2.547945205,2.249315068,1.208219178,2.873972603,3.273972603,1.802739726,2.953424658,3.312328767,2.663013699,3.038356164,4.923287671,4.764383562,4.704109589,4.446575342,6.019178082,2.487671233,2.517808219,2.167123288,2.260273973,3.21369863,3.854794521,3.945205479,2.035616438,3.019178082,1.991780822,1.515068493,1.550684932,1.380821918,1.293150685,2.04109589,68.8109589,4.120547945,2.189041096,3.580821918,3.128767123,3.706849315,3.460273973,2.780821918,4.112328767,1.830136986,1.857534247,6.156164384,2.509589041,2.567123288,2.6,4.956164384,5.463013699,3.643835616,2.860273973,3.02739726,3.887671233,2.060273973,1.463013699,1.649315068,1.452054795,6.745205479,3.550684932,6.452054795,7.334246575,6.517808219,3.920547945,7.391780822,5.24109589,7.345205479,6.690410959,7.347945205,5.205479452,1.890410959,2.57260274,2.169863014,2.479452055,98,0.1,0,8.3,19.4,10.2,23729772,53.6,8422249,30.3,14.7,2.9,15.6,3.42,72.6,20.5,3359871,68,25.5,24.5,6174011,142550,13298509,5.1,10.8,6.7,66.2,33.8,66.6,12.4,2,3.8,25.1,11463230,22.3,20.6,13.2,4641,0,"8,077,795.00","4,479,328.00",0.56,34,"3,528,633.00",0.44,0,38.2,0.541,0.455,-0.075,-0.114,48251
Virginia,51,2008,69.11764706,74.67647059,79,53.61764706,54.52941176,55.67647059,63.91176471,81.64705882,61,61.32352941,75.79411765,62.05882353,74.38235294,47.08823529,63.76470588,50.20588235,54.61764706,38.73529412,41.17647059,66.76470588,58.20588235,54.38235294,113.0588235,1.235294118,1.588235294,1.735294118,2.029411765,1.941176471,1.794117647,1.794117647,1.617647059,1.852941176,1.705882353,1.735294118,1.676470588,1.735294118,2.411764706,3.529411765,3.705882353,2.5,2.088235294,3.529411765,2.647058824,3.352941176,3.470588235,2.382352941,2.088235294,3.411764706,2.941176471,3.852941176,5.117647059,0.941176471,1.676470588,1.558823529,0.558823529,0.647058824,0.558823529,2.235294118,570.0294118,92.61764706,49.70588235,1.735294118,2.529411765,0.911764706,0.911764706,1,2.470588235,0.735294118,0.852941176,0.911764706,1.264705882,2.794117647,2.029411765,0.794117647,54.44117647,6.029411765,4.882352941,1.941176471,2.088235294,1.941176471,2.676470588,6.117647059,1.205882353,2.235294118,2.058823529,1.323529412,2.411764706,3.764705882,2,2.294117647,3.264705882,1.852941176,3.029411765,4.911764706,4.647058824,4.735294118,4.382352941,6.352941176,2.411764706,2.470588235,2.5,2.558823529,3.235294118,3.911764706,4.235294118,2.205882353,3.205882353,1.941176471,1.588235294,2,1.588235294,1.588235294,2.382352941,60.76470588,4.5,1.558823529,3.323529412,3.088235294,3.529411765,2.794117647,2.588235294,3.588235294,1.588235294,1.235294118,4.529411765,1.705882353,1.764705882,1.941176471,4.647058824,5.647058824,3.147058824,2.588235294,2.676470588,3.529411765,1.852941176,1.647058824,2.058823529,1.5,7.205882353,4.735294118,6.941176471,7.558823529,6.823529412,4,7.529411765,6.147058824,7.676470588,6.617647059,7.558823529,5.205882353,1.558823529,2.205882353,2.058823529,2.029411765,97.9,0.2,0,6.7,16.7,10.2,7519452,59.5,2961083,32.5,14.7,3.3,17.8,3.08,67.5,25.9,1025487,62.1,31.9,32.9,1987524,32152,4635428,3.4,7,8.5,86.7,13.3,68.5,10.9,1.5,4.3,26.9,3874420,13.5,12.4,9.1,16634262,0.1034,"3,723,260.00","1,725,005.00",0.46,0,"1,959,532.00",0.53,13,45.5,0.67,0.618,0.054,0.049,52140
Washington,53,2008,63.86956522,74.2173913,72.17391304,56.91304348,62.43478261,65.34782609,52.56521739,74.2173913,69,66.47826087,69.39130435,63.73913043,69.39130435,37.73913043,67,53.86956522,49.08695652,64.04347826,51.26086957,58.7826087,61.52173913,52.26086957,105.7391304,1,1.086956522,1.217391304,1.695652174,1.652173913,1.869565217,1.869565217,1.130434783,1.304347826,1.913043478,1.826086957,1.956521739,1.869565217,2.173913043,3.739130435,3.913043478,2.565217391,1.956521739,3.782608696,1.52173913,3.782608696,4.130434783,2.347826087,1.652173913,2.304347826,2.130434783,3.608695652,5.52173913,1.086956522,1.565217391,1.173913043,0.739130435,0.695652174,0.782608696,2.304347826,439.7826087,110.826087,64.7826087,1.608695652,2.391304348,0.739130435,0.739130435,0.739130435,2.869565217,0.695652174,0,0.782608696,0,1.739130435,1.739130435,0.826086957,44.73913043,4.565217391,3.217391304,1.47826087,2.130434783,1.739130435,1.043478261,5,1.52173913,2.782608696,2.086956522,1.347826087,3.347826087,2.47826087,1.652173913,3.565217391,3.173913043,2.608695652,2.173913043,4.739130435,4.391304348,4.913043478,4.739130435,5.695652174,1.695652174,1.826086957,1.173913043,1.434782609,1.869565217,3.565217391,3.565217391,1.913043478,2.869565217,1.956521739,1.52173913,1.782608696,1.52173913,1.434782609,1.739130435,59,4.739130435,1.826086957,4.217391304,2.652173913,4.260869565,3.565217391,2.304347826,3.086956522,1.217391304,1.043478261,4.173913043,1.826086957,1.913043478,2.217391304,4.47826087,4.956521739,3.086956522,3.347826087,3.52173913,3.043478261,1.956521739,1.434782609,2.130434783,1.652173913,6.391304348,4.47826087,6.086956522,7.217391304,6.304347826,4.086956522,7.347826087,5.826086957,7.782608696,6.652173913,7.391304348,5.52173913,1.695652174,2.043478261,1.739130435,2.043478261,96,0.3,0,6.6,16.9,9.4,6405562,59.6,2547663,35.8,17.1,4.2,18.6,3.09,70.8,22.7,816796,66.7,27.7,29.5,1632826,27277,3914058,2.7,10.8,6.2,83.3,16.7,67,12.2,2.2,5,25.4,3219312,13.8,12.5,10.4,5062,0,"3,036,878.00","1,229,216.00",0.41,0,"1,750,848.00",0.58,11,52.8,0.666,0.603,0.05,0.034,54862
Wisconsin,55,2008,69.5,70.63636364,68.59090909,51.27272727,63.81818182,62.59090909,57.18181818,74.36363636,64.90909091,61.63636364,74.27272727,60.22727273,72,37.36363636,64.90909091,56.27272727,46.95454545,50,41.72727273,56.04545455,58.40909091,49.63636364,62.27272727,1.227272727,1.363636364,1.454545455,1.636363636,1.590909091,1.909090909,1.818181818,1.181818182,1.5,1.772727273,1.681818182,1.545454545,1.5,2.636363636,3.545454545,3.363636364,2.272727273,2.090909091,3.5,2.272727273,3,2.818181818,2.090909091,1.681818182,3.272727273,2.545454545,3.590909091,5.090909091,0.636363636,1.545454545,1.636363636,0.863636364,0.636363636,0.818181818,2.409090909,514.2727273,193.0454545,120.5454545,1.681818182,2.5,1,1,1,1.954545455,1,0,1.363636364,0,1.5,1.727272727,0.545454545,50.68181818,5.5,4.227272727,1.318181818,1.590909091,1.772727273,2.045454545,6,0.727272727,1.772727273,1.409090909,1.318181818,3.227272727,3.318181818,1.818181818,2.954545455,3.545454545,2.772727273,2.818181818,4.909090909,4.772727273,4.818181818,4.727272727,6,2.090909091,2.181818182,1.727272727,1.818181818,2.818181818,3.818181818,4,2.363636364,3.5,2.272727273,1.318181818,1.863636364,1.590909091,1.636363636,2.136363636,63.22727273,4.272727273,2.090909091,3.5,3.454545455,3.909090909,3.181818182,2.909090909,4.090909091,1.954545455,1.227272727,4.636363636,2.045454545,2.227272727,2.045454545,3.909090909,4.181818182,3.363636364,3.090909091,3.272727273,3.409090909,2.318181818,1.590909091,1.318181818,1.590909091,7.545454545,4.454545455,7.454545455,7.818181818,7.727272727,4.090909091,7.681818182,5.409090909,7.909090909,7.090909091,7.909090909,4.954545455,1.681818182,2.318181818,2.272727273,2.272727273,98.4,0.1,0,6.4,16.9,9.9,5464836,62.2,2249630,34.8,16.5,3.5,18.3,2.99,69.9,24.1,728692,64.1,30.6,26,1385594,23074,3383117,2,8.9,5.3,91.9,8.1,70,9.8,1.9,3.8,21.7,2966446,12.9,11.6,9.5,8936200,0.0556,"2,983,417.00","1,262,393.00",0.42,0,"1,677,211.00",0.56,10,49.7,0.724,0.693,0.108,0.124,44785
Alabama,1,2012,63.26829268,79.36585366,78.12195122,57.32926829,59.52439024,51.5,58.51219512,83.04878049,71.64634146,57.2195122,78.64634146,58.53658537,77.52439024,39.30487805,74.08536585,51.84146341,56.53658537,52.65853659,48.45121951,60.40243902,54.85365854,48.5,59.19512195,2.695121951,1.536585366,1.682926829,1.37804878,1.365853659,1.536585366,1.682926829,1.37804878,1.365853659,1.682926829,1.719512195,1.817073171,1.963414634,2.463414634,3.146341463,3.390243902,2.548780488,1.341463415,2.12195122,2.56097561,3.487804878,3.524390244,2.890243902,1,2.5,2.158536585,3.073170732,5.390243902,2.564102564,1.390243902,1.451219512,1.538461538,1.846153846,1.974358974,2.170731707,58.94871795,65.84146341,35.13414634,1.56097561,2.548780488,0.87804878,0.87804878,0.87804878,2.585365854,0.768292683,0,1.207317073,0,1.536585366,1.292682927,1.609756098,57.26829268,4.951219512,3.073170732,4.390243902,4.743902439,1.987804878,4,5.207317073,2.731707317,4.743902439,5.463414634,1.146341463,2.902439024,3.62195122,1.573170732,3.097560976,3.743902439,2.817073171,3.12195122,3.536585366,3.597560976,3.109756098,3.158536585,2.426829268,2.435897436,2.512820513,2.333333333,2.333333333,3.085365854,4.12195122,4.207317073,1.817073171,3.012195122,1.62195122,1.707317073,1.707317073,1.37804878,1.365853659,2.207317073,64.13414634,2.804878049,2.353658537,3.719512195,3.134146341,3.865853659,3.597560976,3.06097561,3.682926829,3.975609756,1.048780488,5.597560976,2.365853659,6.524390244,6.597560976,4.707317073,2.804878049,3.646341463,3.097560976,3.426829268,3.780487805,2.62195122,1.902439024,1.597560976,1.451219512,3.62195122,2.670731707,2.609756098,5.487804878,2.963414634,3.341463415,5.182926829,5.792682927,5.597560976,2.865853659,5.890243902,5.012195122,7,2.43902439,2.146341463,2.304878049,4822023,1.5,0.1,4822023,48.5,51.5,49.3,50.7,700359,58,30.6,4,1.4,1845169,1858893,51.1,3,11.7,1.9,5.6,41.5,27,70.8,23.3,23.4,23.2,681363,42.7,4764428,50.1,56167,43.8,56.2,107512,1.8,9.1,22.3,$80 ,0,"2,074,338.00","1,255,925.00",0.61,9,"795,696.00",0.38,0,0.39,0.586,0.56,0.006,0.024,36661
